key_length,block_length,num_blocks,p_err,success_rate,max_candidates_num,max_num_indices_to_encode,code_generation_strategy,sparsity,theoretic_key_rate,is_success,key_rate,encoding_size_rate,matrix_size_rate,bob_communication_rate,total_communication_rate,time_rate
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.22189475010096188,0.86,29.163310013269278,1.9624582870521103,32.48883605094158,0.11237780200000032
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,31.69925001442313,2.008684935988864,35.00760420100334,0.10022451400000022
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,1.850929011313586,35.83252502677519,0.06475830200000018
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,31.69925001442313,1.538892535802612,34.53781180081708,0.10259890400000017
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,31.69925001442313,1.9736808863390691,34.97260015135355,0.18262892799999975
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,27.261355012403886,1.7523100057886374,30.31333426878387,0.10602044399999955
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,27.261355012403893,1.2581703739253025,29.819194636920543,0.03977897799999994
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,28.529325012980813,1.331389473950808,31.128684487508544,0.0653897280000001
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,27.261355012403886,1.514515510891128,30.075539773886362,0.07242552200000034
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,31.69925001442313,1.9970343345672534,34.995953599581725,0.10839904200000035
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,1.9388633029489275,35.92045931841052,0.1321029219999997
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,27.261355012403886,1.621789875188191,30.182814138183424,0.08872389600000019
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,27.261355012403886,1.3057969341660896,29.866821197161325,0.04792792800000029
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,30.748272513990432,1.6284246259123438,33.6446671404797,0.09020889199999943
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,2.1824297762834144,36.16402579174501,0.09097886200000062
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,31.69925001442313,1.672993425720761,34.67191269073523,0.06182606599999985
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,28.212332512836582,1.5311600983450793,31.074861111787435,0.04610877400000049
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,1.902059066004287,35.88365508146588,0.07870796200000087
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.22189475010096188,0.86,29.16331001326928,1.9416462585937302,32.468024022483206,0.04713778599999955
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,1.943069369988305,35.924665385449906,0.09934148400000026
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,26.310377511971197,1.3492605865329796,28.927608099081098,0.044054848000000674
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,31.69925001442313,1.7232227283438042,34.72214199335828,0.09459356999999954
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,31.69925001442313,1.7318677320500637,34.73078699706454,0.1406577799999991
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,27.261355012403886,1.5293358642940416,30.090360127289276,0.0727956180000001
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.22189475010096188,0.86,33.60120501528852,2.041500161159706,37.00577292706842,0.10969067199999927
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,28.212332512836582,1.8510426494738415,31.3947436629162,0.07881147199999987
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,30.431280013846205,1.572162686487386,33.33481120093936,0.08361867999999958
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,31.69925001442313,1.7716238576644037,34.77054312267888,0.08151807599999984
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,2.0619451087872815,36.043541124248875,0.08473630599999979
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,1.9295604405524347,35.911156456014034,0.12761846399999968
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,False,0,0.86,33.28421251514428,2.010272644067494,36.65755290983198,0.06098612199999934
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,False,0,0.8,30.748272513990432,1.5055349521353962,33.52177746670275,0.06363675599999966
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,28.212332512836582,1.912903188645559,31.456604202087917,0.14761965400000007
